ASSUNTO e PALAVRAS CHAVES;SUBTEMA;NORMAS e DOCUMENTOS;URL;DESCRIÇÃO - ASSUNTO;VIGÊNCIA;DATA INICIO;DATA FIM;NORMA ATUAL;NÍVEL DE ACESSO
Efeito imediato da rescisão do contrato individual/exclusão do beneficiário - Nos contratos coletivos empresariais os pedidos de exclusão devem ser enviados para a empresa contratada que tem até 30 (trinta) dias para adoção - Devolução ou cobrança proporcional de valores - solicitado presencialmente, por telefone ou eletronicamente, no site da Operadora ou Administradora;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 412, DE 10 DE NOVEMBRO DE 2016;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzMyNA==;Dispõe sobre a solicitação de cancelamento do contrato do plano de saúde individual ou familiar, e de exclusão de beneficiário de contrato coletivo empresarial ou por adesão.;11/11/2016 a  31/01/2023 - Revogada pela RN Nº 561/2022;FORMATO DESCONHECIDO;;;Público 
Efeito imediato da rescisão do contrato individual/exclusão do beneficiário - Nos contratos coletivos empresariais os pedidos de exclusão devem ser enviados para a empresa contratada que tem até 30 (trinta) dias para adoção - Devolução ou cobrança proporcional de valores;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 561, DE 15 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzMw==;"Dispõe sobre a solicitação de cancelamento do contrato do plano de saúde individual ou familiar, e de exclusão de beneficiário de contrato coletivo empresarial ou por adesão.
 ";"01/02/2023

 ";01/02/2023;;;Público 
Rescisão ou suspensão de contratos individuais;Suspensão e Rescisão Contratuais ;LEI Nº 9.656, DE 3 DE JUNHO DE 1998;http://www.planalto.gov.br/ccivil_03/leis/L9656compilado.htm;A Operadora só pode rescindir OU suspender unilateralmente o contrato de plano de saúde do usuário quando constatada a fraude ou o não-pagamento da mensalidade por período superior a sessenta dias, consecutivos ou não, nos últimos doze meses de vigência do contrato, desde que o consumidor seja comprovadamente notificado até o quinquagésimo dia de inadimplência (art. 13, § único, II da Lei 9.656/98).;01/01/1999;01/01/1999;;;Público 
Notificação por via postal com aviso de recebimento -  Notificação por meios próprios da operadora - Notificação por edital;Suspensão e Rescisão Contratuais ;SÚMULA NORMATIVA Nº 28, DE 30 DE NOVEMBRO DE 2015;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzEzOA==;Regras para o cumprimento do disposto no inciso II do parágrafo único do artigo 13 da lei nº 9.656, de 1998;01/12/2015 a 01/12/2024;FORMATO DESCONHECIDO;;;Público 
Notificação eletrônica  de Inadimplência - Ciência prévia ao beneficiário da utilização deste meio - ;Suspensão e Rescisão Contratuais ;ENTENDIMENTO DIFIS Nº 13 - 06 DE DEZEMBRO DE 2019;https://www.ans.gov.br/index.php?option=com_legislacao&view=legislacao&task=TextoLei&format=raw&id=MzgxNw==;Possibilidade de utilização de ferramenta eletrônica de comunicação como forma de comprovação da notificação por inadimplemento prevista no art. 13, parágrafo único, inciso II, da Lei 9.656/98. Avanço da tecnologia. Meios modernos de comprovação.;06/12/2019;06/12/2019;;;Público 
Regras para Contratação de Plano por Microempreendedor Individual (MEI) - Empresário individual;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 432, DE 27 DE DEZEMBRO DE 2017;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzUzMA==;"Dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual- MEI e altera o Anexo I da Resolução Normativa – RN nº 389, de 26 de novembro de 2015, que dispõe sobre a transparência das informações no âmbito da saúde suplementar, estabelece a obrigatoriedade da disponibilização do conteúdo mínimo
obrigatório de informações referentes aos planos
privados de saúde no Brasil e dá outras
providências.";28/12/2017 a  31/01/2023 - Revogada pela RN Nº 557/2022;FORMATO DESCONHECIDO;;;Público 
Regras para contratação de Plano por Microempreendedor Individual (MEI) - Empresário individual;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual - MEI - e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
As regras para manutenção ou exclusão dos beneficiários em alguns casos dependerão da previsão no regulamento/estatuto do plano da autogestão;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA N° 137, DE 14 DE NOVEMBRO DE 2006;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTExNw==;Dispõe sobre as entidades de autogestão no âmbito do sistema de saúde suplementar.;20/11/2006;20/11/2006;;;Público 
A exclusão do beneficiário titular do contrato individual ou familiar não extingue o contrato, sendo assegurado aos dependentes já inscritos o direito à manutenção das mesmas condições contratuais, com a assunção das obrigações decorrentes.;Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 412, DE 10 DE NOVEMBRO DE 2016;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzMyNA==;Dispõe sobre a solicitação de cancelamento do contrato do plano de saúde individual ou familiar, e de exclusão de beneficiário de contrato coletivo empresarial ou por adesão.;11/11/2016 a  31/01/2023 - Revogada pela RN Nº 561/2022;FORMATO DESCONHECIDO;;;Público 
O término da remissão não extingue o contrato de plano familiar- exclusão de dependentes;Suspensão e Rescisão Contratuais ;SÚMULA NORMATIVA N° 13, DE 3 DE NOVEMBRO DE 2010;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTU3Nw==;"O término da remissão não extingue o contrato de plano familiar, sendo assegurado aos dependentes já inscritos o direito à manutenção das mesmas condições contratuais, com a assunção das obrigações decorrentes, para os contratos firmados a qualquer tempo.
";03/11/2010;03/11/2010;;;Público 
"Meios de Notificação por Inadimplência: correio eletrônico (e-mail) com certificado digital e com confirmação de leitura; mensagem de texto para telefones celulares (SMS);  mensagem em aplicativo de dispositivos móveis que permita a troca de mensagens criptografadas; ligação telefônica gravada, de forma pessoal ou pelo sistema URA (unidade de resposta audível), com confirmação de dados pelo interlocutor; carta, com aviso de recebimento (AR) dos correios, não sendo necessária a assinatura da pessoa natural a ser notificada; preposto da operadora, com comprovante de recebimento assinado pela pessoa natural a ser notificada.";Suspensão e Rescisão Contratuais ;RESOLUÇÃO NORMATIVA Nº 593, DE 19 DE DEZEMBRO DE 2023;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDQ2Nw==;Dispõe sobre a notificação por inadimplência à pessoa natural contratante de plano privado de assistência à saúde e ao beneficiário que paga a mensalidade do plano coletivo diretamente à operadora, e cancela a Súmula Normativa nº 28, de 30 de novembro de 2015.;01/12/2024;01/12/2024;;;Público 
Seleção de Risco - Doença e Lesão Preexistente - Cobertura Parcial Temporária - Agravo;Contratação/Adesão e Vigência ;SÚMULA NORMATIVA Nº 27, DE 10 DE JUNHO DE 2015;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=Mjk5NA==;É vedada a prática de seleção de riscos pelas operadoras de plano de saúde na contratação de qualquer modalidade de plano privado de assistência à saúde.;10/06/2015;10/06/2015;;;Público 
Idade do contratante - Condição de pessoa portadora de deficiência.;Contratação/Adesão e Vigência ;SÚMULA NORMATIVA Nº 19, DE 28 DE JULHO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTc4Mw==;"Determina que os locais de comercialização ou venda de planos privados de assistência à saúde por terceiros devem estar aptos a atender todos os potenciais 
consumidores (ou beneficiários) que desejem aderir, sem qualquer tipo de restrição em razão da idade, condição de saúde ou portar deficiência.";28/07/2011;28/07/2011;;;Público 
Elegibilidade e Legitimidade para Contratação - Limitação do Número de vidas ;Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA Nº 195, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTQ1OA==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde, regulamenta a sua contratação, institui a orientação para contratação de planos privados de assistência à saúde e dá outras providências.;"15/07/2009 a 31/01/2023 - Revogada pela RN Nº 557/2022

 ";15/07/2009;31/01/2023;RN Nº 557/2022;Público 
Elegibilidade e Legitimidade para Contratação - Limitação do Número de vidas ;Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
Tempo de exercício da atividade empresarial - Cadastro Específico do INSS (CEI);Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA Nº 432, DE 27 DE DEZEMBRO DE 2017;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzUzMA==;"Dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e altera o Anexo I da Resolução Normativa – RN nº 389, de 26 de
novembro de 2015, que dispõe sobre a transparência das informações no âmbito da saúde suplementar, estabelece a obrigatoriedade da disponibilização do conteúdo mínimo
obrigatório de informações referentes aos planos
privados de saúde no Brasil e dá outras
providências.";28/12/2017 a  31/01/2023 - Revogada pela RN Nº 557/2022;FORMATO DESCONHECIDO;;;Público 
Tempo de exercício da atividade empresarial - Cadastro Específico do INSS (CEI);Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
Possibilidade de postergação de vigência - Contratação eletrônica ;Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA Nº 413, DE 11 DE NOVEMBRO DE 2016;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzMyNw==;Dispõe sobre a contratação eletrônica de planos privados de assistência à saúde.;14/11/2016;14/11/2016;;;Público 
Morte do titular - Alteração da titularidade ;Contratação/Adesão e Vigência ;SÚMULA NORMATIVA N° 13, DE 3 DE NOVEMBRO DE 2010;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTU3Nw==;"O término da remissão não extingue o contrato de plano familiar, sendo assegurado aos dependentes já inscritos o direito à manutenção das mesmas condições contratuais, com a assunção das obrigações decorrentes, para os contratos firmados a qualquer tempo.
";03/11/2010;03/11/2010;;;Público 
Manutenção do contrato após portabilidade de carências de outros beneficiários do contrato.;Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA  Nº 186, DE 14 DE JANEIRO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTM4OQ==;Dispõe sobre a regulamentação da portabilidade das carências previstas no inciso V do art. 12 da Lei nº 9.656, de 3 de junho de 1998, e sem a imposição de cobertura parcial temporária.;15/04/2009 a 02/06/2019 - Revogada pela RN Nº 438/2018;15/04/2009;02/06/2019;RN Nº 438/2018;Público 
Caso direito à portabilidade de carências não seja exercido por todos os membros do grupo, o contrato será mantido.;Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA Nº 438, DE 3 DE DEZEMBRO DE 2018;http://www.ans.gov.br/component/legislacao/?view=legislacao&task=TextoLei&format=raw&id=MzY1NA==;"Dispõe sobre a regulamentação da portabilidade de carências para beneficiários de planos privados de assistência à saúde, revoga a Resolução Normativa - RN n° 186, de 14 de janeiro de 2009, que dispõe sobre a regulamentação da portabilidade das carências previstas no inciso V do art. 12 da Lei n° 9.656, de 3 de junho de 1998, e sem a imposição de cobertura parcial temporária, e revoga os artigos 1º, 3º, 4º e 7º e o §2º do artigo 9º, todos da RN n° 252, de 28 de abril de 2011, que dispõe sobre as regras de portabilidade e de portabilidade especial de carências.
 ";03/06/2019;03/06/2019;;;Público 
Comunicar todos os consumidores integrantes da carteira da alienante por meio de comunicação individual e mediante publicação em jornal de grande circulação na sua área de atuação.;Contratação/Adesão e Vigência ;RESOLUÇÃO NORMATIVA N° 112, DE 28 DE SETEMBRO DE 2005;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=OTk1;Dispõe sobre a alienação da carteira das operadoras de planos de assistência à saúde, e dá outras providências.;28/09/2005;28/09/2005;;;Público 
Como contratar plano de saúde - orientações ANS - tipos de contrato;Contratação/Adesão e Vigência ;CARTILHA DE ORIENTAÇÃO - CONTRATAÇÃO DE PLANO DE SAÚDE;https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/caminho-do-consumidor/CartilhaPlanodeSade_defeso.pdf;Orienta consumidores na escolha do plano de saúde;;;;;Público 
Inclusão de Recém-nascido no plano - Cobertura obrigatória nos 30 primeiros dia após nascimento;Inclusão de Dependentes do Consumidor ;LEI Nº 9.656, DE 3 DE JUNHO DE 1998;http://www.planalto.gov.br/ccivil_03/leis/L9656compilado.htm;Garante aos beneficiários de planos hospitalares com obstetrícia, a cobertura assistencial a recém-nascido, filho natural ou adotivo do consumidor ou seu dependente, durante os trinta primeiros dias após o parto, período em que não deve haver qualquer cobrança pela assistência do neonato (inciso III do art. 12 da Lei 9.656/98).;01/01/1999;01/01/1999;;;Público 
Inclusão de Recém-nascido no plano - Prazos de carência - Assistência ao Recém-nascido;Inclusão de Dependentes do Consumidor ;SÚMULA NORMATIVA Nº 25, DE 13 DE SETEMBRO DE 2012;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MjIxOA==;"Dispõe sobre a cobertura assistencial do parto; a inscrição do recém-nascido, filho natural ou adotivo, ou sob guarda ou tutela; a inscrição do menor adotado, sob guarda ou tutela, ou cuja paternidade foi reconhecida, e do aproveitamento de carência; os prazos de carência e à  cobertura assistencial do recém-nascido.";14/09/2012;14/09/2012;;;Público 
"Caso o plano esteja ativo com comercialização suspensa, não é permitido o ingresso de novos beneficiários, à exceção de novo cônjuge e filhos do titular e de beneficiários em exercício dos direitos previstos nos artigos 30 e 31 da Lei nº 9.656/98, conforme estabelece o inciso II do artigo 12 da RN nº 543/2022;";Inclusão de Dependentes do Consumidor ;RESOLUÇÃO NORMATIVA Nº 543, DE 02 DE SETEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDI4Mw==;Dispõe sobre a concessão de Autorização de Funcionamento das Operadoras de Planos de Assistência à Saúde e sobre o Registro de Produtos.;01/10/2022;01/10/2022;;;Público 
As regras de reembolso devem estar previstas no contrato - Tabelas de Procedimentos das Operadoras - Cláusulas que permitam que o consumidor calcule o quanto receberá de reembolso - Contagem do prazo de reembolso;Itens Obrigatórios e Cláusulas Contratuais;INSTRUÇÃO NORMATIVA Nº 23, DE 1 DE DEZEMBRO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MjgxMw==;"Dispõe sobre os procedimentos do Registro de Produtos.
 ";01/12/2009 a 31/01/2023 - Revogada pela IN Nº28/2022;01/12/2009;31/01/2023;IN Nº28/2022;Público 
As regras de reembolso devem estar previstas no contrato - Tabelas de Procedimentos das Operadoras - Cláusulas que permitam que o consumidor calcule o quanto receberá de reembolso - Contagem do prazo de reembolso;Itens Obrigatórios e Cláusulas Contratuais;INSTRUÇÃO NORMATIVA Nº 28, DE 16 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyNQ==;"Dispõe sobre os procedimentos do Registro de Produtos.
 ";01/02/2023;01/02/2023;;;Público 
Pagamento particular do procedimento em razão do descumprimento por parte da operadora das regras referentes à garantia de atendimento, o reembolso será devido de forma integral, na forma da RN n° 259/2011;Itens Obrigatórios e Cláusulas Contratuais;RESOLUÇÃO NORMATIVA N° 259, DE 17 DE JUNHO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTc1OA==;Dispõe sobre a garantia de atendimento dos beneficiários de plano privado de assistência à saúde e altera a Instrução Normativa – IN nº 23, de 1º de dezembro de 2009, da Diretoria de Normas e Habilitação dos Produtos – DIPRO.;19/12/2011 a  31/01/2023 - Revogada pela RN Nº 566/2022;FORMATO DESCONHECIDO;;;Público 
Pagamento particular do procedimento em razão do descumprimento por parte da operadora das regras referentes à garantia de atendimento, o reembolso será devido de forma integral, na forma da RN n° 259/2011;Itens Obrigatórios e Cláusulas Contratuais;RESOLUÇÃO NORMATIVA Nº 566, DE 29 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDM0MQ==;Dispõe sobre a garantia de atendimento dos beneficiários de plano privado de assistência à saúde.;01/02/2023;01/02/2023;;;Público 
Plano de Origem - Plano de Destino - Tipo compatível - Portabilidade Especial - Regras Gerais ;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA  Nº 186, DE 14 DE JANEIRO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTM4OQ==;Dispõe sobre a regulamentação da portabilidade das carências previstas no inciso V do art. 12 da Lei nº 9.656, de 3 de junho de 1998, e sem a imposição de cobertura parcial temporária.;15/04/2009  a  02/06/2019 - Revogada pela RN Nº 438/2018;FORMATO DESCONHECIDO;;;Público 
Plano de Origem - Plano de Destino - Tipo compatível - Portabilidade Especial - Regras Gerais ;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 438, DE 3 DE DEZEMBRO DE 2018;http://www.ans.gov.br/component/legislacao/?view=legislacao&task=TextoLei&format=raw&id=MzY1NA==;"Dispõe sobre a regulamentação da portabilidade de carências para beneficiários de planos privados de assistência à saúde, revoga a Resolução Normativa - RN n° 186, de 14 de janeiro de 2009, que dispõe sobre a regulamentação da portabilidade das carências previstas no inciso V do art. 12 da Lei n° 9.656, de 3 de junho de 1998, e sem a imposição de cobertura parcial temporária, e revoga os artigos 1º, 3º, 4º e 7º e o §2º do artigo 9º, todos da RN n° 252, de 28 de abril de 2011, que dispõe sobre as regras de portabilidade e de portabilidade especial de carências.
 ";03/06/2019;03/06/2019;;;Público 
Nos casos de plano de destino coletivo por adesão, cabe ao beneficiário averiguar se a pessoa jurídica com a qual possui vínculo (ou pode vir a se vincular) contratou o produto compatível para o qual pretende exercer a portabilidade.;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 195, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTQ1OA==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde, regulamenta a sua contratação, institui a orientação para contratação de planos privados de assistência à saúde e dá outras providências.;"15/07/2009 a 31/01/2023 - Revogada pela RN Nº 557/2022

 ";15/07/2009;31/01/2023;RN Nº 557/2022;Público 
casos de plano de destino coletivo por adesão, cabe ao beneficiário averiguar se a pessoa jurídica com a qual possui vínculo (ou pode vir a se vincular) contratou o produto compatível para o qual pretende exercer a portabilidade.;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
O beneficiário titular e seus dependentes, em caso de demissão, exoneração ou aposentadoria, tendo ou não contribuído financeiramente para o plano de origem, ou no término do período de manutenção da condição de beneficiário garantida pelos artigos 30 e 31 da Lei nº 9.656, de 1998.;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 279, DE 24 DE NOVEMBRO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTg5OA==;Dispõe sobre a regulamentação dos artigos 30 e 31 da Lei nº 9.656, de 3 de junho de 1998, e revoga as Resoluções do CONSU n.º 20 e 21, de 7 de abril de 1999.;01/06/2012 a 30/03/2022 - Revogada pela RN Nº 488/2022;01/06/2012;30/03/2022;RN Nº 488/2022;Público 
O beneficiário titular e seus dependentes, em caso de demissão, exoneração ou aposentadoria, tendo ou não contribuído financeiramente para o plano de origem, ou no término do período de manutenção da condição de beneficiário garantida pelos artigos 30 e 31 da Lei nº 9.656, de 1998.;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 488, DE 29 DE MARÇO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDE0OA==;Dispõe sobre a regulamentação dos artigos 30 e 31 da Lei nº 9.656, de 3 de junho de 1998.;31/03/2022;31/03/2022;;;Público 
No caso de contrato coletivo empresarial firmado por empresário individual é possível fazer a portabilidade no ato da contração. ;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 432, DE 27 DE DEZEMBRO DE 2017;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzUzMA==;"Dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e altera o Anexo I da Resolução Normativa – RN nº 389, de 26 de
novembro de 2015, que dispõe sobre a transparência das informações no âmbito da saúde suplementar, estabelece a obrigatoriedade da disponibilização do conteúdo mínimo
obrigatório de informações referentes aos planos
privados de saúde no Brasil e dá outras
providências.";28/12/2017 a  31/01/2023 - Revogada pela RN Nº 557/2022;FORMATO DESCONHECIDO;;;Público 
Substituição de entidade hospitalar - Redimensionamento de rede por redução - Responsabilidade da Operadora -  Exclusão Parcial de Serviços Hospitalares Contratados - Exclusão de Serviços de Urgência e Emergência - Suspensão Temporária do Atendimento no Prestador Hospitalar - Direito à portabilidade em razão da entidade hospitalar descredenciada.;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 585, DE 18 DE AGOSTO DE 2023;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDQyNQ==;"Dispõe sobre os critérios para as alterações na rede assistencial hospitalar no que se refere à substituição de entidade hospitalar e redimensionamento de rede por redução; Altera a RN nº 489, de 29 de março de 2022, que dispõe sobre a aplicação de penalidades para as infrações à legislação dos planos privados de assistência à saúde, que passa a vigorar acrescida do art. 113-A; Altera a RN nº 438, de 3 de dezembro de 2018, que dispõe sobre a regulamentação da portabilidade de carências para beneficiários de planos privados de assistência à saúde, que passa a vigorar acrescida do Art. 8º A.
 ";01/09/2024;01/09/2024;;;Público 
Meios de Comunicação - A comunicação individualizada deverá vir acompanhada da informação sobre a possibilidade do exercício da portabilidade prevista no artigo 19 desta Resolução Normativa, bem como o prazo para exercer tal direito - A operadora deverá promover a ampla divulgação sobre os possíveis meios de comunicação individualizada.;Portabilidade de Carências ;ANEXO - RESOLUÇÃO NORMATIVA Nº 585, DE 18 DE AGOSTO DE 2023;https://www.ans.gov.br/images/stories/Legislacao/rn/585/Republicação_da_RN_585_-_Dispõe_sobre_os_critérios_para_as_alterações_na_rede_assistencial_hospitalar.pdf;Regras para a comunicação individualizada prevista no art. 21 da RESOLUÇÃO NORMATIVA Nº 585, DE 18 DE AGOSTO DE 2023;01/09/2024;01/09/2024;;;Público 
No caso de contrato coletivo empresarial firmado por empresário individual é possível fazer a portabilidade inaugurando o contrato. ;Portabilidade de Carências ;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
"Faixas de preço para fins de portabilidade de carências e migração - Adição de 20,59% sobre o valor da contraprestação pecuniária informado, e de acordo com a idade do beneficiário.

";Portabilidade de Carências ;INSTRUÇÃO NORMATIVA Nº 56, DE 3 DE DEZEMBRO DE 2018;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzY1NQ==https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzY1NQ==;"Dispõe sobre as faixas de preço para fins de portabilidade de carências e migração, regulamentados, respectivamente, pela Resolução Normativa - RN nº 438, de 3 de dezembro de 2018 e pela RN nº 254, de 5 de maio de 2011; e revoga a Instrução Normativa-IN nº 19, de 3 de abril de 2009, da DIPRO, a IN nº 30, de 28 de abril de 2011, da DIPRO e a IN nº 41, de 5 de dezembro de 2012, da DIPRO.";03/06/2019;03/06/2019;;;Público 
Orientações para troca de plano sem carência - Portabilidade - Regras ;Portabilidade de Carências ;CARTILHA DE ORIENTAÇÃO - PORTABILIDADE DE CARÊNCIAS;https://www.gov.br/ans/pt-br/centrais-de-conteudo/cartilha-final-pdf;Orienta como mudar de plano de saúde sem cumprir carência;;;;;Público 
Portabilidade Especial HALSA OPERADORA DE MEDICINA DE GRUPO LTDA.;Portabilidade de Carências ;RESOLUÇÃO OPERACIONAL Nº 2.786, DE 17 DE JANEIRO DE 2023;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=pdfAtualizado&format=raw&id=NDM0Ng==;Dispõe sobre a concessão da portabilidade especial de carências aos beneficiários da operadora HALSA OPERADORA DE MEDICINA DE GRUPO LTDA.;19/01/2023;19/01/2023;;;Público 
Portabilidade Especial SAÚDE CASSEB ASSISTÊNCIA MÉDICA LTDA.;Portabilidade de Carências ;RESOLUÇÃO OPERACIONAL Nº 2.791, DE 07 DE FEVEREIRO DE 2023;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=pdfAtualizado&format=raw&id=NDM1NA==;Dispõe sobre a concessão da portabilidade especial de carências aos beneficiários da operadora SAÚDE CASSEB ASSISTÊNCIA MÉDICA LTDA.;08/02/2023;08/02/2023;;;Público 
Portabilidade Especial VIVA PLANOS DE SAÚDE LTDA.;Portabilidade de Carências ;RESOLUÇÃO OPERACIONAL Nº 2.796, DE 07 DE FEVEREIRO DE 2023;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=pdfAtualizado&format=raw&id=NDM1OQ==;Dispõe sobre a concessão da portabilidade especial de carências aos beneficiários da operadora VIVA PLANOS DE SAÚDE LTDA.;08/02/2023;08/02/2023;;;Público 
Portabilidade Especial HOSPITAL BOM SAMARITANO S/S LTDA.;Portabilidade de Carências ;RESOLUÇÃO OPERACIONAL Nº 2.807, DE 04 DE MAIO DE 2023;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=pdfAtualizado&format=raw&id=NDM3OA==;Dispõe sobre a concessão da portabilidade especial de carências aos beneficiários do HOSPITAL BOM SAMARITANO S/S LTDA.;05/05/2023;05/05/2023;;;Público 
